"claveNOMActualizada","claveNOMObsoleta"
"NOM-024-SEMARNAT-1993","NOM-012-PESC-1993"
"NOM-027-SEMARNAT-1996","NOM-003-RECNAT-1996"
"NOM-028-SEMARNAT-1996","NOM-004-RECNAT-1996"
"NOM-034-SEMARNAT-1993","NOM-CCAM-001-ECOL/1993"
"NOM-035-SEMARNAT-1993","NOM-CCAM-002-ECOL/1993"
"NOM-036-SEMARNAT-1993","NOM-CCAM-003-ECOL/1993"
"NOM-037-SEMARNAT-1993","NOM-CCAM-004-ECOL/1993"
"NOM-038-SEMARNAT-1993","NOM-038-ECOL-1993"
"NOM-039-SEMARNAT-1993","NOM-CCAT-001-ECOL/1993"
"NOM-043-SEMARNAT-1993","NOM-CCAT-006-ECOL/1993"
"NOM-046-SEMARNAT-1993","NOM-CCAT-009-ECOL/1993"
"NOM-048-SEMARNAT-1993","NOM-CCAT-012-ECOL/1993"
"NOM-049-SEMARNAT-1993","NOM-CCAT-013-ECOL/1993"
"NOM-050-SEMARNAT-1993","NOM-CCAT-014-ECOL/1993"
"NOM-053-SEMARNAT-1993","NOM-CRP-002-ECOL/93"
"NOM-054-SEMARNAT-1993","NOM-CRP-003-ECOL/93"
"NOM-056-SEMARNAT-1993","NOM-CRP-005-ECOL/1993"
"NOM-057-SEMARNAT-1993","NOM-CRP-006-ECOL/1993"
"NOM-058-SEMARNAT-1993","NOM-CRP-007-ECOL/1993"
"NOM-060-SEMARNAT-1994","NOM-060-ECOL-1994"
"NOM-061-SEMARNAT-1994","NOM-061-ECOL-1994"
"NOM-062-SEMARNAT-1994","NOM-062-ECOL-1994"
"NOM-080-SEMARNAT-1994","NOM-080-ECOL-1994"
"NOM-097-SEMARNAT-1995","NOM-097-ECOL-1995"
"NOM-105-SEMARNAT-1996","NOM-105-ECOL-1996"
"NOM-121-SEMARNAT-1997","NOM-121-ECOL-1997"
"NOM-123-SEMARNAT-1998","NOM-123-ECOL-1998"
"NOM-126-SEMARNAT-2000","NOM-126-ECOL-2000"
"NOM-130-SEMARNAT-2000","NOM-130-ECOL-2000"
"NOM-133-SEMARNAT-2000","NOM-133-ECOL-2000"
"NOM-005-SEMARNAT-1997","NOM-005-RECNAT-1997"
"NOM-006-SEMARNAT-1997","NOM-006-RECNAT-1997"
"NOM-007-SEMARNAT-1997","NOM-007-RECNAT-1997"
"NOM-008-SEMARNAT-1996","NOM-008-RECNAT-1996"
"NOM-009-SEMARNAT-1996","NOM-009-RECNAT-1996"
"NOM-010-SEMARNAT-1996","NOM-010-RECNAT-1996"
"NOM-011-SEMARNAT-1996","NOM-011-RECNAT-1996"
"NOM-012-SEMARNAT-1996","NOM-012-RECNAT-1996"
"NOM-018-SEMARNAT-1999","NOM-018-RECNAT-1999"
"NOM-020-SEMARNAT-2001","NOM-020-RECNAT-2001"
"NOM-021-SEMARNAT-2000","NOM-021-RECNAT-2000"
"NOM-023-SEMARNAT-2001","NOM-023-RECNAT-2001"
"NOM-003-CONAGUA-1996","NOM-003-CNA-1996"
"NOM-004-CONAGUA-1996","NOM-004-CNA-1996"
"NOM-005-CONAGUA-1996","NOM-005-CNA-1996"
"NOM-006-CONAGUA-1997","NOM-006-CNA-1997"
"NOM-007-CONAGUA-1997","NOM-007-CNA-1997"
"NOM-010-CONAGUA-2000","NOM-010-CNA-2000"
"NOM-011-CONAGUA-2000","NOM-011-CNA-2000"
