"wrong","good"
"abrasi??n","abrasión"
"absorci??n","absorción"
"Absorci??n","Absorción"
"acci??n","acción"
"aceptaci??n","aceptación"
"Aclaraci??n","Aclaración"
"acreditaci??n","acreditación"
"Acr?-licas","Acrílicas"
"Ac??stica","Acústica"
"actualizaci??n","actualización"
"actualizar?!","actualizará"
"acu?-colas","acuícolas"
"acu?-feros","acuíferos"
"acu?!ticas","acuáticas"
"acu?!ticos","acuáticos"
"adaptaci??n","adaptación"
"adhesi??n","adhesión"
"Adici??n","Adición"
"Administraci??n","Administración"
"admisi??n","admisión"
"adquisici??n","adquisición"
"aeron?!uticas","aeronáuticas"
"aeron?!utico","aeronáutico"
"Aeron?!utico","Aeronáutico"
"agr?-cola","agrícola"
"agr?-colas","agrícolas"
"Agr?-colas","Agrícolas"
"agregaci??n","agregación"
"ajonjol?-","ajonjolí"
"alacr?!n","alacrán"
"alcanc?-a","alcancía"
"aleaci??n","aleación"
"Alem?!n","Alemán"
"alfarer?-a","alfarería"
"algod??n","algodón"
"Algod??n","Algodón"
"alimentaci??n","alimentación"
"almac??n","almacén"
"ampl?-a","amplía"
"Ampliaci??n","Ampliación"
"Am??rica","América"
"anal?-ticos","analíticos"
"anestesiolog?-a","anestesiología"
"an?!lisis","análisis"
"An?!lisis","Análisis"
"ant?-geno","antígeno"
"ant?-genos","antígenos"
"antis??ptico","antiséptico"
"a??o","año"
"aplicaci??n","aplicación"
"Aplicaci??n","Aplicación"
"Ap??ndice","Apéndice"
"aprobaci??n","aprobación"
"aproximaci??n","aproximación"
"a??reo","aéreo"
"A??reo","Aéreo"
"arom?!ticos","aromáticos"
"arquitect??nico","arquitectónico"
"ars??nico","arsénico"
"art?-culo","artículo"
"art?-culos","artículos"
"Art?-culos","Artículos"
"as?-","así"
"As?-","así"
"asf?!lticas","asfálticas"
"Asf?!lticas","Asfálticas"
"Asf?!lticos","Asfálticos"
"asignaci??n","asignación"
"atenci??n","atención"
"Atenci??n","Atención"
"Atl?!ntico","Atlántico"
"atm??sfera","atmósfera"
"Auditor?-as","Auditorías"
"autom?!tica","automática"
"autom?!ticas","automáticas"
"autom?!tico","automático"
"autom?!ticos","automáticos"
"autom??vil","automóvil"
"autorizaci??n","autorización"
"aviaci??n","aviación"
"az??car","azúcar"
"Az??car","Azúcar"
"Balanc?!n","Balancán"
"bal?-sticos","balísticos"
"bater?-as","baterías"
"Bater?-as","Baterías"
"bimet?!licos","bimetálicos"
"biol??gico","biológico"
"bistur?-","bisturí"
"bi??xido","bióxido"
"Boller?-a","Bollería"
"br??coli","brócoli"
"b?!sica","básica"
"b?!sico","básico"
"B?!sico","Básico"
"b?!sicos","básicos"
"B?!sicos","Básicos"
"ca??a","caña"
"Ca??a","Caña"
"ca?-da","caída"
"caf??","café"
"Caf??","café"
"calcoman?-a","calcomanía"
"calcoman?-as","calcomanías"
"calibraci??n","calibración"
"Calibraci??n","Calibración"
"calificaci??n","calificación"
"calorim??trico","calorimétrico"
"cami??n","camión"
"campa??a","campaña"
"Campa??a","Campaña"
"ca????n","cañón"
"Canad?!","Canadá"
"cancelaci??n","cancelación"
"Cancelaci??n","Cancelación"
"capacitaci??n","capacitación"
"cap?-tulo","capítulo"
"caracterizaci??n","caracterización"
"caracter?-stica","característica"
"caracter?-sticas","características"
"Caracter?-sticas","Características"
"carb??n","carbón"
"Carb??n","Carbón"
"carburaci??n","carburación"
"car?!cter","carácter"
"Cart??n","Cartón"
"cartogr?!fica","cartográfica"
"car?!tula","carátula"
"catal?-tico","catalítico"
"Catazaj?!","Catazajá"
"categor?-a","categoría"
"Categor?-as","Categorías"
"C??digo","Código"
"C??dula","Cédula"
"cefalorraqu?-deo","cefalorraquídeo"
"centr?-fugas","centrífugas"
"cer?!mica","cerámica"
"Cer?!mica","Cerámica"
"certificaci??n","certificación"
"Certificaci??n","Certificación"
"Champay?!n","Champayán"
"cianh?-drico","cianhídrico"
"?!cidas","ácidas"
"?!cido","ácido"
"?!cidos","ácidos"
"cient?-fica","científica"
"Cil?-ndricas","Cilíndricas"
"cil?-ndricos","cilíndricos"
"cinem?!ticos","cinemáticos"
"circulaci??n","circulación"
"cirug?-a","cirugía"
"clasificaci??n","clasificación"
"Clasificaci??n","Clasificación"
"c?!lculo","cálculo"
"c??lera","cólera"
"cl?-nica","clínica"
"cl?-nicas","clínicas"
"cl?-nico","clínico"
"cl?-nicos","clínicos"
"clorh?-drico","clorhídrico"
"cl?!sica","clásica"
"Cl?!sica","Clásica"
"c?!mara","cámara"
"c?!maras","cámaras"
"c?!ncer","cáncer"
"c?!nula","cánula"
"Codificaci??n","Codificación"
"colaboraci??n","colaboración"
"Colch??n","Colchón"
"colorim??trico","colorimétrico"
"Colorim??trico","Colorimétrico"
"combinaci??n","combinación"
"combusti??n","combustión"
"comercializaci??n","comercialización"
"Comisi??n","Comisión"
"Comit??","comité"
"com??n","común"
"compa???-a","compañía"
"composici??n","composición"
"compresi??n","compresión"
"comprobaci??n","comprobación"
"comunicaci??n","comunicación"
"concentraci??n","concentración"
"concesi??n","concesión"
"conc??ntrico","concéntrico"
"Conc??ntrico","Concéntrico"
"condici??n","condición"
"conducci??n","conducción"
"Conexi??n","Conexión"
"con?-feras","coníferas"
"conmutaci??n","conmutación"
"conservaci??n","conservación"
"Conservaci??n","Conservación"
"consideraci??n","consideración"
"consignaci??n","consignación"
"constituci??n","constitución"
"Constituci??n","Constitución"
"construcci??n","construcción"
"Construcci??n","Construcción"
"contaminaci??n","contaminación"
"Contaminaci??n","Contaminación"
"continuaci??n","continuación"
"Cont?-nua","Contínua"
"contrase??a","contraseña"
"Contrase??a","Contraseña"
"contrataci??n","contratación"
"Coordinaci??n","Coordinación"
"cord??n","cordón"
"c?!rnicos","cárnicos"
"cromatograf?-a","cromatografía"
"Cromatograf?-a","Cromatografía"
"c?!rtamo","cártamo"
"cr?-ticos","críticos"
"crust?!ceos","crustáceos"
"Crust?!ceos","Crustáceos"
"c?!scara","cáscara"
"c?-tricos","cítricos"
"curaci??n","curación"
"d?-a","día"
"d?-as","días"
"deber?!n","deberán"
"Definici??n","Definición"
"delf?-n","delfín"
"Denominaci??n","Denominación"
"denominar?!","denominará"
"dep??sito","depósito"
"derivaci??n","derivación"
"destilaci??n","destilación"
"destinar?!n","destinarán"
"destrucci??n","destrucción"
"detecci??n","detección"
"Detecci??n","Detección"
"determinaci??n","determinación"
"Determinaci??n","Determinación"
"diagn??stico","diagnóstico"
"Diagn??stico","Diagnóstico"
"diel??ctrico","dieléctrico"
"difracci??n","difracción"
"di?!lisis","diálisis"
"diluci??n","dilución"
"Direcci??n","Dirección"
"discusi??n","discusión"
"diseminaci??n","diseminación"
"dise??o","diseño"
"Dise??o","Diseño"
"dispersi??n","dispersión"
"disposici??n","disposición"
"Disposici??n","Disposición"
"distribuci??n","distribución"
"Distribuci??n","Distribución"
"divisi??n","división"
"di??xido","dióxido"
"Documentaci??n","Documentación"
"dom??stico","doméstico"
"dos?-metros","dosímetros"
"d??plex","dúplex"
"econ??mico","económico"
"Econom?-a","Economía"
"edificaci??n","edificación"
"editar?!","editará"
"educaci??n","educación"
"ejecuci??n","ejecución"
"elaboraci??n","elaboración"
"Elaboraci??n","Elaboración"
"El?-as","Elías"
"el??ctrico","eléctrico"
"electr??nica","electrónica"
"Electr??nica","Electrónica"
"electromec?!nica","electromecánica"
"electromec?!nicos","electromecánicos"
"electroqu?-mico","electroquímico"
"electrot??cnico","electrotécnico"
"Electrot??cnico","Electrotécnico"
"eliminaci??n","eliminación"
"el?!stica","elástica"
"El?!stica","Elástica"
"el?!stico","elástico"
"El?!stico","Elástico"
"embolectom?-a","embolectomía"
"emisi??n","emisión"
"energ?-a","energía"
"Energ?-a","Energía"
"energ??tica","energética"
"ense??anza","enseñanza"
"erradicaci??n","erradicación"
"espec?-fica","específica"
"Espec?-fica","Específica"
"espec?-ficas","específicas"
"espec?-fico","específico"
"especificaci??n","especificación"
"Especificaci??n","Especificación"
"espec?-menes","especímenes"
"espectrofotometr?-a","espectrofotometría"
"espectrometr?-a","espectrometría"
"est?!","está"
"estad?-sticas","estadísticas"
"esta??o","estaño"
"est?!ndares","estándares"
"Estr?-as","Estrías"
"est??ril","estéril"
"estructuraci??n","estructuración"
"Estructuraci??n","Estructuración"
"est?!tica","estática"
"est?!ticos","estáticos"
"etc??tera","etcétera"
"et?-lico","etílico"
"Et?-lico","Etílico"
"Et??reo","Etéreo"
"evaluaci??n","evaluación"
"Evaluaci??n","Evaluación"
"exclusi??n","exclusión"
"exenci??n","exención"
"exhibici??n","exhibición"
"expansi??n","expansión"
"expedici??n","expedición"
"exploraci??n","exploración"
"exportaci??n","exportación"
"Exportaci??n","Exportación"
"exposici??n","exposición"
"Exposici??n","Exposición"
"expulsi??n","expulsión"
"extinci??n","extinción"
"extracci??n","extracción"
"Extracci??n","Extracción"
"fabricaci??n","fabricación"
"Fabricaci??n","Fabricación"
"Falc??n","Falcón"
"Federaci??n","Federación"
"fen??meno","fenómeno"
"fijaci??n","fijación"
"finalizaci??n","finalización"
"fisicoqu?-micas","fisicoquímicas"
"formaci??n","formación"
"formulaci??n","formulación"
"fotograf?-a","fotografía"
"fr?-a","fría"
"f?!rmacos","fármacos"
"f??rmula","fórmula"
"fr?-o","frío"
"F??sforo","Fósforo"
"f?-sicas","físicas"
"f?-sico","físico"
"funci??n","función"
"garant?-as","garantías"
"gen??tica","genética"
"Gesti??n","Gestión"
"g??nero","género"
"grabaci??n","grabación"
"graduaci??n","graduación"
"gravim??trico","gravimétrico"
"gr?!ficos","gráficos"
"Gr?!ficos","Gráficos"
"gu?-a","guía"
"Gu?-a","Guía"
